id,name,catchment-area,easting,northing,latitude,longitude,river,location,station-level,measuring-authority-id,measuring-authority-station-id,hydrometric-area,opened,closed,station-type,bankfull-flow,structurefull-flow,sensitivity,nrfa-mean-flow,nrfa-peak-flow,feh-pooling,feh-qmed,feh-neither,nhmp,benchmark,live-data,eflag,historic-droughts,marius,outlook-analogues,outlook-esp,factors-affecting-runoff,gdf-start-date,gdf-end-date,gdf-mean-flow,gdf-min-flow,gdf-first-date-of-min,gdf-last-date-of-min,gdf-max-flow,gdf-first-date-of-max,gdf-last-date-of-max,gdf-q95-flow,gdf-q70-flow,gdf-q50-flow,gdf-q10-flow,gdf-q05-flow,gdf-base-flow-index,gdf-day-count,gdf-flow-count,gdf-percent-complete,peak-flow-start-date,peak-flow-end-date,qmed,minimum-altitude,10-percentile-altitude,50-percentile-altitude,90-percentile-altitude,maximum-altitude,saar-1941-1970,saar-1961-1990,lcm2000-woodland,lcm2000-arable-horticultural,lcm2000-grassland,lcm2000-mountain-heath-bog,lcm2000-urban,lcm2007-woodland,lcm2007-arable-horticultural,lcm2007-grassland,lcm2007-mountain-heath-bog,lcm2007-urban,high-perm-bedrock,moderate-perm-bedrock,low-perm-bedrock,mixed-perm-bedrock,high-perm-superficial,low-perm-superficial,mixed-perm-superficial,propwet,bfihost,farl,dpsbar,sprhost,rmed-1d,rmed-2d,rmed-1h,ldp,dplbar,altbar,aspbar,aspvar,ihdtm-height,ihdtm-catchment-area,mean-flood-plain-depth,mean-flood-plain-location,mean-flood-plain-extent,urbext-1990,urbconc-1990,urbloc-1990,urbext-2000,urbconc-2000,urbloc-2000,data-summary
4003,Alness at Alness,201,265467,869598,57.69601,-4.25876,Alness,Alness,11.9,SEPA-NW,234152,4,01/01/1973,,VA,,,9,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,SR,01/01/1974,30/09/2022,6.255,0.324,05/09/1976,05/09/1976,123.1,26/10/2006,26/10/2006,0.998,2.241,3.749,14.07,20.03,0.43,17805,17805,100,01/01/1974,,80.636,13.9,192.5,410.5,579.7,835,1471,1366,0.1331,0.0104,0.137,0.6759,0.0018,0.2061,0.019,0.1037,0.6534,0.001,,0.1743,0.8257,,0.0024,0.424,0.3109,0.63,0.385,0.908,147.7,48.11,40,56.4,9.3,43.06,22.55,396,123,0.11,13.9,202.38,0.542,0.997,0.0374,0.0005,,,0.0005,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
4004,Blackwater at Contin,336.7,245517,856292,57.5702,-4.5846,Blackwater,Contin,19.9,SEPA-NW,234186,4,01/01/1981,01/07/2011,VA,59.2,,11.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,H,02/01/1981,01/07/2011,6.025,0.747,13/12/1989,13/12/1989,174.5,06/02/1989,06/02/1989,1.443,2.109,3.228,13.15,19.99,0.4,11138,11137,99.991,,,,28.9,188.7,384.4,692.8,1082.9,1665,1600,0.1325,0.0026,0.0994,0.7276,0.0002,0.1747,0.0004,0.1544,0.637,0.0002,,,1,,,0.1463,0.5589,0.74,0.356,0.783,196.4,54.29,44,65.1,9.2,47.91,28.49,413,171,0.09,28.9,322.83,0.685,0.838,0.0413,0.0001,,,0.0001,,,gdf;gmf;cmr;cdr;cdr-d
4005,Meig at Glenmeanie,120.5,228649,852780,57.53261,-4.86377,Meig,Glenmeanie,120.7,SEPA-NW,234227,4,01/01/1985,,VA,103.3,,13,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,N,01/01/1986,30/09/2022,6.911,0.157,11/08/1995,11/08/1995,131.8,02/01/1992,02/01/1992,0.572,1.723,3.404,17.35,25.2,0.25,13422,13422,100,01/01/1986,,101.633,118.7,225.5,462.7,710.2,1052.7,2074,2145,0.0569,,0.0991,0.8299,,0.0623,0.0001,0.1729,0.7553,0.0001,,,1,,,0.1247,0.3379,0.76,0.389,0.918,289,52.86,47.4,73.3,9.7,28.09,12.97,463,123,0.03,118.9,123.67,0.643,0.901,0.0366,0,,,0,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
4006,Bran at Dosmucheran,116.1,220463,860186,57.59587,-5.00577,Bran,Dosmucheran,118.6,SEPA-NW,234202,4,01/01/1990,,VA,80.5,,13,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,N,01/11/1989,30/09/2022,6.951,0.138,18/08/1995,18/08/1995,96.1,07/03/2015,07/03/2015,0.539,1.813,3.653,17.4,23.89,0.28,12022,12022,100,01/11/1989,,84.353,119.4,171.6,330,563,913.5,2016,2203,0.0228,,0.1431,0.8027,,0.0277,0.0013,0.1789,0.7617,,,,1,,,0.1305,0.684,0.83,0.333,0.814,164.6,52.93,51,75.5,9.6,23.51,13.08,351,56,0.05,119.5,117.53,0.717,0.861,0.0479,0,,,0,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
4007,Blackwater at Garve,289,239538,861706,57.6167,-4.68803,Blackwater,Garve,71,SEPA-NW,234225,4,01/10/1989,30/09/2021,VA,66,,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,18/10/1989,30/09/2021,4.784,0.209,14/12/1989,14/12/1989,104.5,21/12/2014,21/12/2014,1.124,1.616,2.256,10.69,16.83,0.35,11671,11558,99.032,,,,70.3,250.1,405.2,713.3,1082.9,1753,1672,0.0894,0.0025,0.0778,0.7929,,0.1398,0,0.1574,0.6715,0.0001,,,1,,,0.1476,0.5548,0.75,0.349,0.843,201.2,55.21,45.4,67.7,9.3,36.73,20.49,440,166,0.07,70.3,278.55,0.607,0.819,0.0381,0,,,0,,,gdf;gmf;cmr;cdr;cdr-d
4008,Newhall Burn at Newhall Bridge,41,270225,865187,57.65782,-4.17663,Newhall Burn,Newhall Bridge,8,SEPA-NW,234290,4,01/08/1996,,VA,9.1,,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,27/08/1996,30/09/2022,0.473,0.009,11/08/2022,02/09/2022,15.77,15/01/2015,15/01/2015,0.033,0.121,0.255,1.046,1.609,0.45,9531,9531,100,,,,7,48.1,130,193.1,255.2,799,777,0.4062,0.2306,0.2286,0.124,0.0025,0.5154,0.1754,0.3003,0.0073,0.0016,,1,,,0.0083,,0.9368,0.42,0.684,0.996,52.4,27.77,31.3,41.7,8.4,15.35,7.29,127,352,0.52,7.3,36.43,0.408,1.008,0.0538,0.0002,,,0.0002,,,gdf;gmf;cmr;cdr;cdr-d
4009,Peffery at Strathpeffer STW,17.3,249292,858688,57.59298,-4.52304,Peffery,Strathpeffer STW,36,SEPA-NW,234316,4,01/10/1992,,VA,,12,60,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,20/11/1995,30/09/2022,0.266,0.003,16/07/2002,16/07/2002,5.736,28/12/2013,28/12/2013,0.019,0.073,0.146,0.634,0.926,0.4,9812,9340,95.19,,,,30.3,83.3,209.6,414.1,753.2,1069,1059,0.5911,0.0581,0.2434,0.0852,0.0137,0.5347,0.0497,0.2718,0.1145,0.0222,,0.3241,0.6759,,0.0838,0.1686,0.6326,0.74,0.488,0.973,152.4,41.44,36.9,51.4,8.4,9.35,3.71,231,167,0.31,30.5,15.94,0.377,0.548,0.0381,0.0108,0.522,0.422,0.0085,0.634,0.468,gdf;gmf;cmr;cdr;cdr-d
4010,Meig at Loch Beannacharain,70.92,222881,851822,57.5218,-4.95928,Meig,Loch Beannacharain,145,SEPA-NW,473090,4,01/04/2011,30/09/2020,VA,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,28/03/2011,30/09/2020,5.01,0.054,08/07/2018,08/07/2018,95.25,07/03/2015,07/03/2015,0.378,1.318,2.424,12.64,19,0.24,3475,3475,100,,,,144.5,260.8,495.9,755.9,1052.7,2295,2382,0.0223,,0.1157,0.852,,0.0284,,0.1812,0.7898,,,,1,,,0.1196,0.4766,0.8,0.38,0.994,285.3,53.78,52.5,81.4,10.1,20.21,9.91,497,109,0.04,144.5,70.92,0.67,0.857,0.0383,0,,,0,,,gdf;gmf;cmr;cdr;cdr-d
4011,Meig at Corrievuic,58.36,220290,851010,57.5135,-5.00188,Meig,Corrievuic,158,SEPA-NW,472872,4,15/03/2011,28/02/2020,VA,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,15/03/2011,28/02/2020,4.348,0.115,15/06/2012,15/06/2012,42.95,07/03/2015,07/03/2015,0.335,1.072,1.985,12.07,16.94,0.21,3273,3273,100,,,,153.9,280.8,539,773,1052.7,2388,2469,0.0008,,0.0948,0.8928,,0.0054,,0.1365,0.8581,,,,1,,,0.1053,0.4942,0.82,0.385,0.993,301.4,54.84,54.7,84.7,10.4,16.88,7.9,525,21,0.09,154.2,58.37,0.626,0.87,0.0364,0,,,0,,,gdf;gmf;cmr;cdr;cdr-d
5001,Beauly at Erchless,849.5,242600,840500,57.42749,-4.62312,Beauly,Erchless,43.9,NSHE,,5,01/01/1950,01/01/1963,VA,240,,3.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,H,01/10/1953,30/09/1962,45.633,7.362,31/08/1955,31/08/1955,376.6,12/02/1962,12/02/1962,14.16,26.62,34.83,85.8,116.7,0.5,3287,3287,100,,,,29.6,220.6,449.9,777.3,1182.5,2166,2153,0.0843,,0.1136,0.7567,0.0004,0.1068,0.0012,0.2114,0.6433,0.0001,,,1,,,0.0546,0.421,0.74,0.4,0.782,263.5,51.92,49.6,73.8,10.3,61.43,33.36,470,99,0.1,29.7,857.5,0.796,0.813,0.0375,0.0001,,,0.0002,,,gdf;gmf;cmr;cdr;cdr-d
5002,Farrar at Struy,311.3,239034,840439,57.4257,-4.6824,Farrar,Struy,51.2,SEPA-NW,234321,5,01/10/1986,01/07/2011,VA,152.1,,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,H,01/10/1986,30/06/2011,19.374,4.013,21/08/2002,21/08/2002,148.3,05/03/1990,05/03/1990,6.266,8.211,13.46,41.13,48.72,0.59,9039,9039,100,,,,54.2,225.5,459.6,751.8,1151.9,2125,2191,0.0135,,0.0862,0.8411,0,0.0382,,0.1719,0.7476,0,,,1,,,0.0552,0.4578,0.74,0.388,0.769,265.8,53.05,46.9,69.6,9.9,46.34,25.35,470,113,0.1,54.3,307.68,0.548,0.881,0.0293,0,,,0,,,gdf;gmf;cmr;cdr;cdr-d
5003,Glass at Kerrow Wood,481.8,235449,832076,57.34938,-4.73643,Glass,Kerrow Wood,52.9,SEPA-NW,234251,5,01/01/1989,01/10/2021,VA,124.8,,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,H,01/10/1988,30/09/2021,31.525,3.936,09/06/2009,09/06/2009,290.5,06/02/1989,06/02/1989,8.614,15.86,25.07,59.88,74.04,0.59,12053,12053,100,,,,52.8,242.4,478.7,811.2,1182.5,2312,2249,0.103,,0.1299,0.7256,0.0006,0.1277,0.0005,0.2467,0.5875,0.0001,,,1,,,0.0473,0.4222,0.75,0.4,0.772,273.6,52.45,53.1,79.4,10.7,46.53,23.76,498,82,0.1,52.9,487.7,0.699,0.796,0.0351,0.0001,,,0.0003,,,gdf;gmf;cmr;cdr;cdr-d
5004,Glass at Fasnakyle,277.5,231526,828751,57.31811,-4.79927,Glass,Fasnakyle,80,SEPA-NW,234215,5,01/01/1991,01/10/2021,VA,102.2,,51,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,H,01/12/1990,30/09/2021,4.894,0.266,04/11/1997,04/11/1997,195.6,07/03/2015,07/03/2015,1.19,1.738,2.505,10.3,15.75,0.42,11262,11262,100,,,,77.3,245.8,451.7,795.6,1182.5,2388,2209,0.1286,,0.1101,0.7272,,0.172,0.0004,0.2833,0.5158,0.0002,,,1,,,0.0748,0.4343,0.74,0.39,0.808,258.2,52.33,54.5,81.4,10.8,40.24,18.83,485,70,0.1,77.7,280.44,0.645,0.911,0.0364,0,,,0,,,gdf;gmf;cmr;cdr;cdr-d
6001,Ness at Ness Castle Farm,1792.3,263900,841000,57.43886,-4.26899,Ness,Ness Castle Farm,9.1,NSHE,,6,01/01/1935,31/12/1963,VA,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,H,01/10/1935,30/09/1963,73.767,7.334,02/09/1955,02/09/1955,560.7,20/12/1936,20/12/1936,12.46,33.41,54.2,154.9,213.5,0.54,10227,9131,89.283,,,,10,127.9,353,684.2,1109.6,1823,1779,0.1673,0.0102,0.1324,0.6211,0.0006,0.179,0.0055,0.3342,0.4136,0.001,,0.0847,0.9153,,0.0137,0.0986,0.349,0.72,0.414,0.676,180.4,49.6,48,68.5,10.7,104.81,54.38,378,14,0.07,10.4,1803.86,0.691,0.959,0.0401,0.0003,,,0.0002,,,gdf;gmf;cmr;cdr;cdr-d
6003,Moriston at Invermoriston,391,241600,816900,57.21538,-4.62461,Moriston,Invermoriston,35.1,NSHE,,6,01/01/1929,1945,VA,,,9.6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,05/08/1929,30/09/1945,20.727,0.396,11/09/1945,11/09/1945,283.2,18/02/1935,16/12/1940,1.84,5.749,10.71,51,74.28,0.29,5901,5901,100,19/03/1930,30/10/1944,312.916,40.7,207.5,397.8,655,1109.6,2146,2115,0.1087,0.0007,0.0895,0.7522,,0.1424,0.0002,0.4423,0.3633,0,,,1,,0.0047,0.0935,0.3812,0.74,0.362,0.813,209.7,52.51,55.4,81.5,11.2,49.27,27.8,408,127,0.12,41.1,398.45,0.786,0.892,0.0398,0.0001,,,0,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;amax-stage;amax-flow
6006,Allt Bhlaraidh at Invermoriston,27.5,237700,816800,57.21311,-4.68904,Allt Bhlaraidh,Invermoriston,107,NSHE,,6,01/01/1951,1962,CB,,5.6,33,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,01/10/1953,30/09/1962,0.88,0.003,17/07/1955,13/08/1955,16.68,12/12/1961,12/12/1961,0.057,0.244,0.453,2.172,3.256,0.29,3287,3287,100,,,,109.1,345,493.2,561.2,675.9,1577,1550,0.046,,0.0075,0.8822,,0.073,,0.2712,0.5859,,,,1,,,0.1541,,0.7,0.277,0.75,108.9,56.07,38,53.9,9.9,11.74,6.27,472,152,0.32,114.2,26.16,0.37,1.113,0.0327,0,,,0,,,gdf;gmf;cmr;cdr;cdr-d
6007,Ness at Ness-side,1839.1,264507,842726,57.45454,-4.25985,Ness,Ness-side,6.9,SEPA-NW,234287,6,01/01/1973,,VA,795,,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,H,06/09/1972,30/09/2022,90.714,7.863,03/07/1977,03/07/1977,768.8,07/02/1989,07/02/1989,20.93,46.11,68.34,182.4,240,0.61,18287,18287,100,,,,7,124.8,348.8,682.5,1109.6,1809,1765,0.1697,0.0122,0.1333,0.6158,0.0006,0.1809,0.0073,0.3329,0.4111,0.0012,,0.0982,0.9018,,0.0156,0.0976,0.3551,0.71,0.418,0.679,178.6,49.23,47.8,68.2,10.7,106.94,55.82,375,12,0.07,9.6,1830.73,0.7,0.945,0.0409,0.0003,,,0.0003,,,gdf;gmf;nmf;cmr;cdr;cdr-d
