Month,Year,NAO,AMO,Flash Flood?
6,1986,1.22,-0.17,1
8,1986,-1.09,-0.18,1
8,1986,-1.09,-0.18,1
8,1986,-1.09,-0.18,1
8,1986,-1.09,-0.18,1
8,1986,-1.09,-0.18,1
8,1986,-1.09,-0.18,1
5,1987,0.98,-0.19,1
6,1987,-1.82,-0.19,1
7,1987,0.52,-0.19,1
7,1987,0.52,-0.19,1
7,1987,0.52,-0.19,1
8,1988,0.04,-0.19,1
8,1988,0.04,-0.19,1
9,1988,-0.99,-0.19,1
10,1988,-1.08,-0.19,1
10,1988,-1.08,-0.19,1
5,1989,1.38,-0.2,1
5,1989,1.38,-0.2,1
7,1989,0.97,-0.2,1
9,1989,2.05,-0.2,1
9,1989,2.05,-0.2,1
10,1989,-0.03,-0.2,1
12,1989,-1.15,-0.2,1
12,1989,-1.15,-0.2,1
6,1991,-0.82,-0.16,1
7,1991,-0.49,-0.16,1
9,1991,0.48,-0.15,1
9,1991,0.48,-0.15,1
4,1992,1.86,-0.14,1
5,1992,2.63,-0.14,1
5,1992,2.63,-0.14,1
8,1992,0.85,-0.14,1
8,1992,0.85,-0.14,1
8,1992,0.85,-0.14,1
9,1992,-0.44,0.15,1
9,1992,-0.44,0.15,1
9,1992,-0.44,0.15,1
11,1992,1.19,-0.15,1
5,1993,-0.78,-0.13,1
6,1993,-0.59,-0.13,1
6,1993,-0.59,-0.13,1
6,1993,-0.59,-0.13,1
8,1993,0.12,-0.13,1
8,1993,0.12,-0.13,1
9,1993,-0.57,-0.13,1
9,1993,-0.57,-0.13,1
1,1994,1.04,-0.12,1
7,1994,1.31,-0.11,1
8,1994,0.38,-0.11,1
9,1994,-1.32,-0.11,1
9,1994,-1.32,-0.11,1
10,1994,-0.97,-0.1,1
7,1995,-0.22,-0.08,1
8,1995,0.69,-0.08,1
5,1996,-1.06,-0.07,1
5,1996,-1.06,-0.07,1
5,1996,-1.06,-0.07,1
6,1996,0.56,-0.07,1
6,1996,0.56,-0.07,1
7,1996,0.67,-0.07,1
8,1996,1.02,-0.06,1
3,1997,1.46,-0.04,1
5,1997,-0.28,-0.04,1
6,1997,-1.47,-0.04,1
6,1997,-1.47,-0.04,1
6,1997,-1.47,-0.04,1
8,1997,0.83,-0.04,1
8,1997,0.83,-0.04,1
8,1997,0.83,-0.04,1
8,1997,0.83,-0.04,1
8,1997,0.83,-0.04,1
8,1997,0.83,-0.04,1
8,1997,0.83,-0.04,1
8,1997,0.83,-0.04,1
8,1997,0.83,-0.04,1
9,1997,0.61,-0.04,1
9,1997,0.61,-0.04,1
11,1997,-0.9,-0.03,1
11,1997,-0.9,-0.03,1
5,1998,-1.32,-0.03,1
5,1998,-1.32,-0.03,1
6,1998,-2.72,-0.02,1
6,1998,-2.72,-0.02,1
9,1998,-2,-0.01,1
10,1998,-0.29,-0.01,1
4,1999,-0.95,0.02,1
5,1999,0.92,0.02,1
5,1999,0.92,0.02,1
5,1999,0.92,0.02,1
6,1999,1.12,0.02,1
7,1999,-0.9,0.02,1
8,1999,0.39,0.03,1
8,1999,0.39,0.03,1
8,1999,0.39,0.03,1
9,1999,0.36,0.03,1
9,1999,0.36,0.03,1
9,1999,0.36,0.03,1
10,1999,0.2,0.03,1
10,1999,0.2,0.03,1
12,1999,1.61,0.04,1
4,2000,-0.03,0.04,1
5,2000,1.58,0.05,1
5,2000,1.58,0.05,1
5,2000,1.58,0.05,1
7,2000,-1.03,0.05,1
7,2000,-1.03,0.05,1
8,2000,-0.29,0.05,1
8,2000,-0.29,0.05,1
8,2000,-0.29,0.05,1
9,2000,-0.21,0.05,1
10,2000,0.92,0.05,1
10,2000,0.92,0.05,1
10,2000,0.92,0.05,1
10,2000,0.92,0.05,1
11,2000,-0.92,0.05,1
11,2000,-0.92,0.05,1
7,2001,-0.25,0.07,1
7,2001,-0.25,0.07,1
8,2001,-0.07,0.07,1
9,2001,-0.65,0.08,1
10,2001,-0.24,0.08,1
5,2002,-0.22,0.09,1
8,2002,0.38,0.09,1
8,2002,0.38,0.09,1
9,2002,-0.7,0.1,1
10,2002,-2.28,0.1,1
10,2002,-2.28,0.1,1
10,2002,-2.28,0.1,1
11,2002,-0.18,0.1,1
11,2002,-0.18,0.1,1
1,2003,0.16,0.11,1
1,2003,0.16,0.11,1
7,2003,0.13,0.12,1
10,2003,-1.26,0.12,1
7,2004,1.13,0.11,1
8,2004,-0.48,0.1,1
8,2004,-0.48,0.1,1
8,2004,-0.48,0.1,1
8,2004,-0.48,0.1,1
8,2004,-0.48,0.1,1
10,2004,-1.1,0.1,1
10,2004,-1.1,0.1,1
10,2004,-1.1,0.1,1
10,2004,-1.1,0.1,1
10,2004,-1.1,0.1,1
6,2005,-0.05,0.1,1
7,2005,-0.51,0.11,1
10,2005,-0.98,0.11,1
10,2005,-0.98,0.11,1
10,2005,-0.98,0.11,1
5,2006,-1.14,0.13,1
6,2006,0.84,0.13,1
6,2006,0.84,0.13,1
7,2006,0.9,0.13,1
7,2006,0.9,0.13,1
8,2006,-1.73,0.13,1
8,2006,-1.73,0.13,1
10,2006,-2.24,0.13,1
6,2007,-1.31,0.14,1
6,2007,-1.31,0.14,1
7,2007,-0.58,0.14,1
7,2007,-0.58,0.14,1
8,2007,-0.14,0.15,1
5,2008,-1.73,0.16,1
5,2008,-1.73,0.16,1
5,2008,-1.73,0.16,1
5,2008,-1.73,0.16,1
7,2008,-1.27,0.16,1
7,2008,-1.27,0.16,1
7,2008,-1.27,0.16,1
7,2008,-1.27,0.16,1
7,2008,-1.27,0.16,1
7,2008,-1.27,0.16,1
8,2008,-1.16,0.16,1
8,2008,-1.16,0.16,1
9,2008,1.02,0.16,1
9,2008,1.02,0.16,1
9,2008,1.02,0.16,1
10,2008,-0.04,0.16,1
10,2008,-0.04,0.16,1
11,2008,-0.32,0.16,1
4,2009,-0.2,0.15,1
4,2009,-0.2,0.15,1
6,2009,-1.21,0.15,1
6,2009,-1.21,0.15,1
7,2009,-2.15,0.15,1
7,2009,-2.15,0.15,1
7,2009,-2.15,0.15,1
7,2009,-2.15,0.15,1
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
10,1959,0.89,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
11,1959,0.41,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
12,1959,0.44,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
1,1960,-1.29,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
2,1960,-1.89,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
3,1960,-0.5,0.1,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
4,1960,1.36,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
5,1960,0.45,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
6,1960,-0.21,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
7,1960,0.35,0.09,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
8,1960,-1.4,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
9,1960,0.39,0.08,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
10,1960,-1.73,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
11,1960,-0.51,0.07,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
12,1960,0.06,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
1,1961,0.41,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
2,1961,0.45,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
3,1961,0.55,0.06,0
